Age Group,Gender,Total WBC (Ã10^3/ÂµL),Neutrophils % (Range),Lymphocytes % (Range),Monocytes % (Range),Eosinophils % (Range),Basophils % (Range),Immature Granulocytes %,Infection Insights (High),Infection Insights (Low)
Newborn (0-3d),M/F,9.0 - 30.0,32.2 - 69.8,11.9 - 53.4,4.0 - 9.0,0 - 0.3,0 - 0.3,Up to 3%,"""Elevated neutrophils and IGs suggest bacterial infection or stress; active marrow producing immature granulocytes.""","""Neutropenia increases risk of infection; low counts may indicate marrow suppression or overwhelming infection."""
Infant (4-28d),M/F,9.4 - 34.0,21.6 - 67.7,20.7 - 61.8,3.3 - 15.5,0 - 2.4,0 - 0.3,Up to 2.5%,"""High lymphocytes indicate common viral infections; elevated IGs reflect marrow activation during infection.""","""Low WBC or neutrophils may indicate bone marrow suppression or severe infections compromising immune defense."""
Children (1m-2y),M/F,5.0 - 21.0,24.6 - 70.9,16.4 - 56.3,3.3 - 15.5,0 - 3.3,0 - 0.3,Up to 1.5%,"""Viral and bacterial infections cause lymphocytosis and increased IGs respectively, signaling immune response and marrow recruitment.""","""Neutropenia or leukopenia may increase susceptibility to infections; could reflect marrow suppression or viral impact."""
Children (2-6y),M,5.0 - 19.0,34.3 - 78.6,11.0 - 50.1,3.5 - 13.9,0 - 0.2,0 - 0.2,Up to 1%,"""Neutrophilia indicates bacterial infection; lymphocytosis suggests viral etiology; IG elevation marks marrow activation.""","""Low neutrophils increase infection risk; consider marrow suppression or viral causes for leukopenia."""
Children (2-6y),F,5.0 - 19.0,32.3 - 69.7,14.3 - 50.6,3.5 - 13.9,0 - 0.2,0 - 0.2,Up to 1%,"""Same clinical implications as males; bacterial, viral, and marrow response patterns apply.""","""Low neutrophils or WBC counts raise infection risk; likely marrow suppression or viral infection effects."""
Children (6-12y),M/F,4.8 - 10.8,40 - 70 approx.,20 - 50 approx.,2 - 10,1 - 5,<1,<1%,"""Normal adult-like range; bacterial, viral infections cause expected changes; IG presence flags marrow stimulation.""","""Leukopenia or neutropenia may signal marrow impairment or infection-mediated cytopenia."""
Adolescents (12-18y),M/F,4.8 - 10.8,40 - 75,20 - 40,2 - 9,1 - 4,<1,<1%,"""Infections and stress can elevate neutrophils and lymphocytes; marrow activation reflected by IGs.""","""Reduction in neutrophils counts implies increased susceptibility to infections; consider marrow suppression, viral impact."""
Adults (18-60y),M,4.5 - 10.0,40 - 75,20 - 45,2 - 8,1 - 6,<1,<0.5%,"""Neutrophilia is typical in bacterial infections; lymphocytosis seen in viral states; increased IGs indicate marrow response.""","""Neutropenia increases infection risk; low counts often from marrow failure, viral suppression or immune destruction."""
Adults (18-60y),F,4.5 - 11.0,40 - 75,20 - 45,2 - 8,1 - 6,<1,<0.5%,"""Similar to males, with slightly broader WBC range; infection patterns apply identically.""","""Low neutrophils or WBCs heighten infection vulnerability; underlying marrow or viral causes should be considered."""
Elderly (>60y),M/F,4.0 - 10.0,40 - 70,20 - 40,2 - 8,1 - 5,<1,<0.3%,"""Reduced bone marrow reserve predisposes to infection; elevated counts suggest active infection or malignancy.""","""Neutropenia especially critical in elderly, greatly increasing infection risk; consider marrow decline or chronic disease."""
